Time,Channel A
(ms),(V)

1.74809584,-0.13053640
1.74815184,-0.13053640
1.74820784,-0.14917570
1.74826384,-0.14917570
1.74831984,-0.14917570
1.74837584,-0.13053640
1.74843184,-0.13053640
1.74848784,-0.13053640
1.74854384,-0.13053640
1.74859984,-0.13053640
1.74865584,-0.13053640
1.74871184,-0.11189710
1.74876784,-0.11189710
1.74882384,-0.11189710
1.74887984,-0.11189710
1.74893584,-0.11189710
1.74899184,-0.11189710
1.74904784,-0.11189710
1.74910384,-0.13053640
1.74915984,-0.13053640
1.74921584,-0.14917570
1.74927184,-0.14917570
1.74932784,-0.13053640
1.74938384,-0.13053640
1.74943984,-0.13053640
1.74949584,-0.13053640
1.74955184,-0.13053640
1.74960784,-0.13053640
1.74966384,-0.11189710
1.74971984,-0.11189710
1.74977584,-0.11189710
1.74983184,-0.11189710
1.74988784,-0.11189710
1.74994384,-0.11189710
1.74999984,-0.09325787
1.75005584,-0.09325787
1.75011184,-0.07455709
1.75016784,-0.07455709
1.75022384,-0.07455709
1.75027984,-0.07455709
1.75033584,-0.09325787
1.75039184,-0.09325787
1.75044784,-0.09325787
1.75050384,-0.11189710
1.75055984,-0.13053640
1.75061584,-0.14917570
1.75067184,-0.14917570
1.75072784,-0.14917570
1.75078384,-0.14917570
1.75083984,-0.14917570
1.75089584,-0.14917570
1.75095184,-0.14917570
1.75100784,-0.14917570
1.75106384,-0.13053640
1.75111984,-0.13053640
1.75117584,-0.11189710
1.75123184,-0.09325787
1.75128784,-0.07455709
1.75134384,-0.05591781
1.75139984,-0.05591781
1.75145584,-0.05591781
1.75151184,-0.07455709
1.75156784,-0.07455709
1.75162384,-0.07455709
1.75167984,-0.07455709
1.75173584,-0.09325787
1.75179184,-0.09325787
1.75184784,-0.09325787
1.75190384,-0.11189710
1.75195984,-0.13053640
1.75201584,-0.11189710
1.75207184,-0.11189710
1.75212784,-0.11189710
1.75218384,-0.09325787
1.75223984,-0.07455709
1.75229584,-0.07455709
1.75235184,-0.07455709
1.75240784,-0.05591781
1.75246384,-0.07455709
1.75251984,-0.07455709
1.75257584,-0.09325787
1.75263184,-0.07455709
1.75268784,-0.07455709
1.75274384,-0.07455709
1.75279984,-0.07455709
1.75285584,-0.07455709
1.75291184,-0.07455709
1.75296784,-0.07455709
1.75302384,-0.07455709
1.75307984,-0.07455709
1.75313584,-0.09325787
1.75319184,-0.07455709
1.75324784,-0.07455709
1.75330384,-0.07455709
1.75335984,-0.07455709
1.75341584,-0.07455709
1.75347184,-0.09325787
1.75352784,-0.09325787
1.75358384,-0.09325787
1.75363984,-0.09325787
1.75369584,-0.09325787
1.75375184,-0.09325787
1.75380784,-0.07455709
1.75386384,-0.07455709
1.75391984,-0.05591781
1.75397584,-0.05591781
1.75403184,-0.03727854
1.75408784,-0.03727854
1.75414384,-0.03727854
1.75419984,-0.03727854
1.75425584,-0.03727854
1.75431184,-0.03727854
1.75436784,-0.05591781
1.75442384,-0.05591781
1.75447984,-0.05591781
1.75453584,-0.07455709
1.75459184,-0.07455709
1.75464784,-0.05591781
1.75470384,-0.07455709
1.75475984,-0.05591781
1.75481584,-0.05591781
1.75487184,-0.05591781
1.75492784,-0.05591781
1.75498384,-0.05591781
1.75503984,-0.03727854
1.75509584,-0.03727854
1.75515184,-0.03727854
1.75520784,-0.03727854
1.75526384,-0.03727854
1.75531984,-0.03727854
1.75537584,-0.03727854
1.75543184,-0.05591781
1.75548784,-0.03727854
1.75554384,-0.03727854
1.75559984,-0.03727854
1.75565584,-0.01863927
1.75571184,-0.01863927
1.75576784,-0.01863927
1.75582384,-0.01863927
1.75587984,-0.01863927
1.75593584,-0.03727854
1.75599184,-0.03727854
1.75604784,-0.05591781
1.75610384,-0.05591781
1.75615984,-0.07455709
1.75621584,-0.07455709
1.75627184,-0.07455709
1.75632784,-0.07455709
1.75638384,-0.07455709
1.75643984,-0.05591781
1.75649584,-0.05591781
1.75655184,-0.03727854
1.75660784,-0.01863927
1.75666384,0.00000000
1.75671984,0.01863927
1.75677584,0.03727854
1.75683184,0.03727854
1.75688784,0.03727854
1.75694384,0.01863927
1.75699984,0.01863927
1.75705584,0.01863927
1.75711184,0.00000000
1.75716784,0.00000000
1.75722384,-0.01863927
1.75727984,-0.01863927
1.75733584,-0.01863927
1.75739184,-0.01863927
1.75744784,-0.01863927
1.75750384,-0.01863927
1.75755984,-0.01863927
1.75761584,-0.01863927
1.75767184,-0.01863927
1.75772784,-0.01863927
1.75778384,-0.01863927
1.75783984,-0.01863927
1.75789584,-0.01863927
1.75795184,-0.01863927
1.75800784,0.00000000
1.75806384,0.00000000
1.75811984,0.00000000
1.75817584,0.01863927
1.75823184,0.01863927
1.75828784,0.01863927
1.75834384,0.03727854
1.75839984,0.01863927
